TWEET	EMOJI	LANGUAGE
1503	loudly crying face	fr
1503	loudly crying face	fr
1503	loudly crying face	fr
1503	loudly crying face	fr
1504		fr
1505		fr
1506		fr
1507		fr
1508	downcast face with sweat	fr
1509		fr
1510		fr
1511		fr
1512		fr
1513		fr
1514		fr
1515		fr
1516		fr
1517	smiling face with heart-eyes	fr
1518		fr
1519		fr
1520	eyes	fr
1521		fr
1522		fr
1523		fr
1524		fr
1525		fr
1526		fr
1527	smiling face with sunglasses	fr
1528		fr
1529		fr
1530		fr
1531	sleepy face	fr
1532		fr
1533		fr
1534		fr
1535		fr
1536		fr
1537		fr
1538		fr
1539		fr
1540		fr
1541		fr
1542		fr
1543		fr
1544		fr
1545		fr
1546		fr
1547	crossed fingers	fr
1547	orange heart	fr
1548		fr
1549		fr
1550		fr
1551		fr
1552		fr
1553	cat	fr
1554		fr
1555		fr
1556		fr
1557		fr
1558		fr
1559	loudly crying face	fr
1559	rolling on the floor laughing	fr
1560	smiling face with heart-eyes	fr
1561		fr
1562		fr
1563	loudly crying face	fr
1563	loudly crying face	fr
1563	loudly crying face	fr
1564		fr
1565		fr
1566		fr
1567		fr
1568		fr
1569		fr
1570		fr
1571	red heart	fr
1571	red heart	fr
1571	red heart	fr
1572		fr
1573		fr
1574		fr
1575		fr
1576		fr
1577		fr
1578		fr
1579		fr
1580		fr
1581		fr
1582		fr
1583		fr
1584		fr
1585		fr
1586		fr
1587	thinking face	fr
1588		fr
1589	hotel	fr
1589	backhand index pointing right	fr
1589	oncoming taxi	fr
1589	telephone receiver	fr
1590		fr
1591	fire	fr
1591	fire	fr
1591	fire	fr
1592		fr
1593		fr
1594		fr
1595		fr
1596		fr
1597		fr
1598	face with rolling eyes	fr
1599	smiling face with heart-eyes	fr
1599	smiling face with heart-eyes	fr
1599	eggplant	fr
1599	eggplant	fr
1599	fire	fr
1599	fire	fr
1600		fr
1601	face without mouth	fr
1602		fr
1603		fr
1604		fr
1605		fr
1606		fr
1607		fr
1608		fr
1609		fr
1610		fr
1611		fr
1612		fr
1613		fr
1614		fr
1615	thinking face	fr
1616		fr
1617		fr
1618		fr
1619		fr
1620		fr
1621		fr
1622		fr
1623		fr
1624	face with tears of joy	fr
1624	face with tears of joy	fr
1624	face with tears of joy	fr
1625		fr
1626	face with tears of joy	fr
1626	face with tears of joy	fr
1626	face with tears of joy	fr
1627		fr
1628		fr
1629		fr
1630		fr
1631		fr
1632		fr
1633		fr
1634		fr
1635	unamused face	fr
1636		fr
1637		fr
1638		fr
1639		fr
1640		fr
1641		fr
1642		fr
1643		fr
1644		fr
1645		fr
1646		fr
1647		fr
1648		fr
1649		fr
1650		fr
1651		fr
1652		fr
1653		fr
1654		fr
1655		fr
1656		fr
